segment,start_time,end_time,dtw_distance,is_anomaly
0,0,1,204.93327073127992,True
1,1,2,227.27658142582064,True
2,2,3,189.51026818060106,True
3,3,4,166.97584902855658,True
4,4,5,203.22751174434538,True
5,5,6,194.5084189138105,True
6,6,7,196.77974282541584,True
7,7,8,178.20643615722656,True
8,8,9,186.95631531746156,True
9,9,10,193.3972384545111,True
10,10,11,214.47705348845452,True
11,11,12,156.13942029399257,True
12,12,13,205.27553484516758,True
13,13,14,141.82060524725145,True
14,14,15,157.05487478933026,True
15,15,16,149.3529589253087,True
16,16,17,147.28270893712198,True
17,17,18,159.13782673497354,True
18,18,19,156.0377672256962,True
19,19,20,233.426511702999,True
20,20,21,201.0263425765499,True
21,21,22,225.02620130969632,True
22,22,23,279.9398217970325,True
23,23,24,205.47012525989163,True
24,24,25,227.7471397153793,True
25,25,26,150.8329376712922,True
26,26,27,262.52648236674645,True
27,27,28,262.8774163030809,True
28,28,29,162.25831604003906,True
29,29,30,228.5146238265499,True
30,30,31,254.77759970388104,True
31,31,32,135.38135134789252,True
32,32,33,85.28337275597357,True
33,33,34,144.13718549666865,True
34,34,35,161.04331920992942,True
35,35,36,262.917482437626,True
36,36,37,178.94990933325982,True
37,37,38,168.5023213048135,True
38,38,39,145.67729027040542,True
39,39,40,242.3210655950731,True
40,40,41,265.91468417259955,True
41,41,42,81.36626846559587,True
42,42,43,246.29835608697707,True
43,43,44,264.40508836315524,True
44,44,45,110.90042951030117,True
45,45,46,179.62871785317697,True
46,46,47,235.78837240895916,True
47,47,48,188.82686467324532,True
48,48,49,248.14409908171623,True
49,49,50,254.3717060704385,True
50,50,51,215.71512997534967,True
51,51,52,226.36355295488912,True
52,52,53,239.0754094277659,True
53,53,54,197.87768087079448,True
54,54,55,262.5547406596522,True
55,55,56,193.47479321879726,True
56,56,57,154.9017831125567,True
57,57,58,212.03983208440965,True
58,58,59,195.38872749574722,True
59,59,60,251.61718799221902,True
60,60,61,190.5030758765436,True
61,61,62,144.69424758418913,True
62,62,63,217.3715768629505,True
63,63,64,219.8883563626197,True
64,64,65,261.1255874633789,True
65,65,66,195.48252253378593,True
66,66,67,212.07835289739793,True
67,67,68,106.38116036691973,True
68,68,69,121.93646191012475,True
69,69,70,231.61338756930442,True
70,70,71,104.04123552383915,True
71,71,72,149.99573639900453,True
72,72,73,155.81502729846585,True
73,73,74,321.89250256938317,True
74,74,75,334.8431957614037,True
75,75,76,179.39175931869013,True
76,76,77,239.96530348254788,True
77,77,78,179.8152009287188,True
78,78,79,150.60457438807333,True
79,79,80,126.483334325975,True
80,80,81,211.60707682947958,True
81,81,82,156.43089269822644,True
82,82,83,171.65630931238974,True
83,83,84,250.38163461992818,True
84,84,85,205.57015351326234,True
85,85,86,146.7794059630363,True
86,86,87,187.22645938011908,True
87,87,88,272.6082970403856,True
88,88,89,104.14777380420315,True
89,89,90,145.35133115706904,True
90,90,91,137.8513474002961,True
91,91,92,156.04341322375882,True
92,92,93,116.33960600822202,True
93,93,94,204.41594376102572,True
94,94,95,272.44791043189264,True
95,95,96,238.38981086977066,True
96,96,97,250.81332175962388,True
97,97,98,137.25830619565903,True
98,98,99,167.76165131599672,True
99,99,100,184.68639693721647,True
100,100,101,239.6560521279612,True
101,101,102,222.55721141446023,True
102,102,103,244.45950858823716,True
103,103,104,214.3211182625063,True
104,104,105,253.27387274465252,True
105,105,106,261.3297468616116,True
106,106,107,245.17713879000755,True
107,107,108,125.18888147415653,True
108,108,109,308.3968249905494,True
109,109,110,205.42499345348728,True
110,110,111,131.14147899996848,True
111,111,112,122.70596436531314,True
112,112,113,151.59912675426853,True
113,113,114,151.02742422780682,True
114,114,115,174.4388208696919,True
115,115,116,168.06902756229525,True
116,116,117,85.48399703733382,True
117,117,118,129.24681460472846,True
118,118,119,200.7981039477933,True
119,119,120,191.38259050923008,True
120,120,121,236.9552747664913,True
121,121,122,239.69143479870212,True
122,122,123,249.68875614289314,True
123,123,124,225.26182470014018,True
